Participant ID,1234
Key.ctrl_l,2019-11-05 13:38:09.273481	
Key.ctrl_l,2019-11-05 13:38:10.186545	
Key.ctrl_l,2019-11-05 13:38:10.715612	
Key.ctrl_l,2019-11-05 13:38:11.112700	
Key.ctrl_l,2019-11-05 13:38:11.474323	
Key.ctrl_l,2019-11-05 13:38:11.700717	
Key.ctrl_l,2019-11-05 13:38:11.917278	
Key.ctrl_l,2019-11-05 13:38:12.134866	
Key.ctrl_l,2019-11-05 13:38:12.352301	
Key.ctrl_l,2019-11-05 13:38:12.566830	
Key.ctrl_l,2019-11-05 13:38:12.786241	
Key.ctrl_l,2019-11-05 13:38:13.005178	
Key.ctrl_l,2019-11-05 13:38:13.220752	
Key.esc,2019-11-05 13:38:13.438568	
