Participant ID,ALICE
Key.ctrl_l,2019-11-04 21:53:05.432764	
'c',2019-11-04 21:53:05.797836	
Key.ctrl_l,2019-11-04 21:53:09.333055	
'v',2019-11-04 21:53:09.504068	
Key.enter,2019-11-04 21:53:12.065298	
Key.ctrl_l,2019-11-04 21:53:15.659668	
'c',2019-11-04 21:53:15.842922	
Key.ctrl_l,2019-11-04 21:53:20.138500	
'v',2019-11-04 21:53:20.307790	
Key.backspace,2019-11-04 21:53:23.091370	
Key.enter,2019-11-04 21:53:23.492508	
Key.ctrl_l,2019-11-04 21:53:39.926402	
'c',2019-11-04 21:53:40.095384	
Key.ctrl_l,2019-11-04 21:53:43.023158	
'v',2019-11-04 21:53:43.230322	
Key.enter,2019-11-04 21:53:44.111348	
Key.ctrl_l,2019-11-04 21:53:54.307885	
'c',2019-11-04 21:53:54.478475	
Key.ctrl_l,2019-11-04 21:53:58.117008	
'v',2019-11-04 21:53:58.286003	
Key.enter,2019-11-04 21:53:59.506794	
'i',2019-11-04 21:55:20.075613	
'm',2019-11-04 21:55:20.268521	
Key.space,2019-11-04 21:55:20.451514	
'f',2019-11-04 21:55:20.527688	
'i',2019-11-04 21:55:20.653867	
'n',2019-11-04 21:55:20.825856	
'r',2019-11-04 21:55:20.922668	
Key.space,2019-11-04 21:55:21.014263	
Key.backspace,2019-11-04 21:55:21.935243	
Key.backspace,2019-11-04 21:55:22.080502	
'e',2019-11-04 21:55:22.554757	
Key.space,2019-11-04 21:55:22.737824	
't',2019-11-04 21:55:22.875389	
'h',2019-11-04 21:55:22.977989	
'a',2019-11-04 21:55:23.178063	
'n',2019-11-04 21:55:23.320946	
'k',2019-11-04 21:55:23.491956	
's',2019-11-04 21:55:23.571472	
Key.enter,2019-11-04 21:55:24.134903	
'h',2019-11-04 21:55:28.958454	
'o',2019-11-04 21:55:29.148930	
'w',2019-11-04 21:55:29.261001	
Key.space,2019-11-04 21:55:29.377694	
'i',2019-11-04 21:55:29.592657	
's',2019-11-04 21:55:29.675549	
Key.space,2019-11-04 21:55:29.793712	
't',2019-11-04 21:55:29.928192	
'h',2019-11-04 21:55:30.052549	
'e',2019-11-04 21:55:30.114898	
Key.space,2019-11-04 21:55:30.252838	
'w',2019-11-04 21:55:30.348914	
'e',2019-11-04 21:55:30.507179	
'a',2019-11-04 21:55:30.760168	
't',2019-11-04 21:55:31.004785	
'h',2019-11-04 21:55:31.185950	
'e',2019-11-04 21:55:31.239866	
'r',2019-11-04 21:55:31.398210	
Key.space,2019-11-04 21:55:31.470868	
'w',2019-11-04 21:55:31.547644	
'h',2019-11-04 21:55:31.686443	
'e',2019-11-04 21:55:31.767851	
'r',2019-11-04 21:55:31.945971	
'e',2019-11-04 21:55:32.062444	
Key.space,2019-11-04 21:55:32.181930	
'y',2019-11-04 21:55:32.538079	
'o',2019-11-04 21:55:32.628054	
'u',2019-11-04 21:55:32.736085	
Key.space,2019-11-04 21:55:32.825179	
'l',2019-11-04 21:55:33.059651	
'i',2019-11-04 21:55:33.203317	
'v',2019-11-04 21:55:33.265617	
'e',2019-11-04 21:55:33.422013	
Key.shift_r,2019-11-04 21:55:33.611078	
'/',2019-11-04 21:55:33.814210	
Key.enter,2019-11-04 21:55:33.989165	
'c',2019-11-04 21:55:42.210377	
'o',2019-11-04 21:55:42.612770	
'o',2019-11-04 21:55:42.728297	
'l',2019-11-04 21:55:42.933672	
Key.enter,2019-11-04 21:55:43.157528	
Key.up,2019-11-05 14:02:39.573389	
'c',2019-11-05 14:08:36.854190	
'h',2019-11-05 14:08:36.992384	
'a',2019-11-05 14:08:37.067781	
't',2019-11-05 14:08:37.281996	
'p',2019-11-05 14:08:37.814234	
'l',2019-11-05 14:08:38.007481	
'a',2019-11-05 14:08:38.619050	
't',2019-11-05 14:08:38.804891	
'.',2019-11-05 14:08:38.911704	
'c',2019-11-05 14:08:39.061372	
'o',2019-11-05 14:08:39.147634	
'm',2019-11-05 14:08:39.338508	
'/',2019-11-05 14:08:40.123777	
Key.shift_r,2019-11-05 14:08:42.212536	
'3',2019-11-05 14:08:42.324747	
'.',2019-11-05 14:08:42.749445	
Key.backspace,2019-11-05 14:08:43.397760	
'/',2019-11-05 14:08:44.014073	
'm',2019-11-05 14:08:44.297956	
'a',2019-11-05 14:08:44.436727	
'n',2019-11-05 14:08:44.496553	
'a',2019-11-05 14:08:44.631335	
'g',2019-11-05 14:08:44.716953	
'e',2019-11-05 14:08:44.814621	
Key.enter,2019-11-05 14:08:45.281907	
Key.ctrl_l,2019-11-05 14:08:52.164102	
'c',2019-11-05 14:08:52.402971	
Key.esc,2019-11-05 14:08:53.387364	
