Participant ID,
'g',2019-11-04 00:23:12.728568	
'j',2019-11-04 00:23:12.840563	
'g',2019-11-04 00:23:12.934224	
'j',2019-11-04 00:23:13.047584	
'g',2019-11-04 00:23:13.131586	
'j',2019-11-04 00:23:13.243588	
'g',2019-11-04 00:23:13.351585	
'j',2019-11-04 00:23:13.455585	
'g',2019-11-04 00:23:13.547594	
'j',2019-11-04 00:23:13.663585	
'h',2019-11-04 00:23:13.707585	
'g',2019-11-04 00:23:13.763584	
'j',2019-11-04 00:23:13.893861	
'h',2019-11-04 00:23:13.943456	
'g',2019-11-04 00:23:13.983459	
'j',2019-11-04 00:23:14.115361	
'h',2019-11-04 00:23:14.153121	
'g',2019-11-04 00:23:14.217653	
'j',2019-11-04 00:23:14.341228	
'g',2019-11-04 00:23:14.429115	
'j',2019-11-04 00:23:14.548303	
'h',2019-11-04 00:23:14.584742	
'g',2019-11-04 00:23:14.633068	
'j',2019-11-04 00:23:14.753368	
'h',2019-11-04 00:23:14.799933	
'g',2019-11-04 00:23:14.848899	
Key.esc,2019-11-04 00:23:15.445057	
